City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Lebu,CL,-37.6167,-73.65,53.1,73,27,10.63,scattered clouds
206,Kenai,US,60.5544,-151.2583,42.15,76,92,9.57,overcast clouds
207,Freiberg,DE,50.9167,13.3667,60.33,84,22,4.23,few clouds
208,Shenjiamen,CN,29.9576,122.298,73.44,72,14,8.12,few clouds
209,Aksehir,TR,38.3575,31.4164,57.7,55,0,2.8,clear sky
210,Padang,ID,-0.9492,100.3543,78.24,88,98,3.65,overcast clouds
211,Port Elizabeth,ZA,-33.918,25.5701,62.89,59,20,20.71,few clouds
212,Kendari,ID,-3.945,122.4989,72.61,93,94,2.62,overcast clouds
213,Chichimila,MX,20.6167,-88.2167,89.04,54,62,4.47,broken clouds
214,Mercedes,AR,-34.6515,-59.4307,71.19,63,0,9.84,clear sky
215,Chisindia,RO,46.2833,22.1,57.99,76,0,4.43,clear sky
216,Broken Hill,AU,-31.95,141.4333,42.51,56,0,5.75,clear sky
217,Riyadh,SA,24.6877,46.7219,86.14,24,5,7.92,clear sky
218,Bodden Town,KY,19.2833,-81.25,89.01,70,40,5.99,scattered clouds
219,Kirovskiy,RU,45.0917,133.5136,55.62,94,100,3.2,overcast clouds
220,Iqaluit,CA,63.7506,-68.5145,33.53,80,90,17.0,overcast clouds
221,Faanui,PF,-16.4833,-151.75,78.28,76,12,10.11,light rain
222,Sikasso,ML,10.9167,-7.0,78.91,74,98,4.18,overcast clouds
223,Kaniama,CD,-7.5667,24.1833,79.99,34,97,2.46,overcast clouds
224,Chuy,UY,-33.6971,-53.4616,60.08,91,63,7.25,broken clouds
225,Geraldton,AU,-28.7667,114.6,61.21,77,90,11.5,overcast clouds
226,La Mira,MX,18.035,-102.3266,85.1,72,99,6.06,overcast clouds
227,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,75,14.97,broken clouds
228,Sitka,US,57.0531,-135.33,51.58,67,100,3.24,overcast clouds
229,Hamilton,US,39.1834,-84.5333,71.94,47,2,3.0,clear sky
230,Newport,GB,51.5877,-2.9984,65.17,91,97,6.2,overcast clouds
231,Inhambane,MZ,-23.865,35.3833,69.26,79,0,7.61,clear sky
232,Chaozhou,CN,23.6651,116.6379,76.86,91,0,0.96,light rain
233,Anamur,TR,36.0751,32.8369,74.12,42,0,5.37,clear sky
234,Revelstoke,CA,50.9832,-118.2023,66.22,63,1,6.91,clear sky
235,Gao,ML,16.6362,1.637,96.51,15,28,2.57,scattered clouds
236,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,74,100,23.35,overcast clouds
237,Charters Towers,AU,-20.1,146.2667,63.64,86,0,6.06,clear sky
238,Yarkovo,RU,57.4028,67.0786,33.24,84,4,6.82,clear sky
239,Vallenar,CL,-28.5708,-70.7581,79.21,26,0,6.53,clear sky
240,Kargat,RU,55.1956,80.2811,31.91,90,97,9.1,overcast clouds
241,Pyu,MM,18.4833,96.4333,74.48,99,97,2.3,moderate rain
242,Shitanjing,CN,39.2342,106.3439,60.69,36,100,9.69,overcast clouds
243,Myronivka,UA,49.6601,30.9823,57.87,79,90,14.09,overcast clouds
244,Fort-Shevchenko,KZ,44.5086,50.263,60.69,65,23,10.11,few clouds
245,Bogorodskoye,RU,56.55,37.8833,46.85,98,100,6.02,overcast clouds
246,Mufulira,ZM,-12.5498,28.2407,68.9,33,54,4.83,broken clouds
247,Lakhnadon,IN,22.6,79.6,73.36,88,97,1.66,overcast clouds
248,Resen,MK,41.0889,21.0122,60.49,36,0,1.83,clear sky
249,Mirandopolis,BR,-21.1336,-51.1017,92.64,19,13,6.33,few clouds
250,Chokurdakh,RU,70.6333,147.9167,32.22,98,100,11.34,light snow
251,Kununurra,AU,-15.7667,128.7333,64.38,82,23,1.14,few clouds
252,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.99,85,13,9.37,few clouds
253,Kushmurun,KZ,52.4503,64.6311,54.64,32,100,8.86,overcast clouds
254,Gizo,SB,-8.103,156.8419,81.57,78,70,5.53,light rain
255,Gavle,SE,60.6745,17.1417,44.01,82,2,3.0,clear sky
256,Nabire,ID,-3.3667,135.4833,76.39,88,94,1.86,overcast clouds
257,Mitsamiouli,KM,-11.3847,43.2844,76.23,79,12,4.05,few clouds
258,Gigmoto,PH,13.7796,124.39,80.94,83,37,4.45,scattered clouds
259,Bridlington,GB,54.0831,-0.1919,63.28,96,100,12.28,overcast clouds
260,Tuatapere,NZ,-46.1333,167.6833,41.83,81,72,7.52,broken clouds
261,Solvychegodsk,RU,61.3305,46.9156,44.76,96,100,5.75,light rain
262,Thinadhoo,MV,0.5333,72.9333,82.35,77,100,17.05,overcast clouds
263,Lavrentiya,RU,65.5833,-171.0,32.18,84,100,7.96,overcast clouds
264,Srivardhan,IN,18.0333,73.0167,76.66,90,93,4.18,overcast clouds
265,High Level,CA,58.5169,-117.136,62.71,25,40,9.22,scattered clouds
266,Misratah,LY,32.3754,15.0925,76.46,61,0,13.24,clear sky
267,Ostrovnoy,RU,68.0531,39.5131,42.46,89,81,8.5,broken clouds
268,Ponta Delgada,PT,37.7333,-25.6667,72.5,88,75,9.22,broken clouds
269,Marawi,PH,7.9986,124.2928,64.65,88,100,2.93,overcast clouds
