City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Komsomolskiy,UZ,2021-09-20 02:58:32,40.4272,71.7189,68.72,37,0,2.3
152,San Buenaventura,MX,2021-09-20 02:58:33,27.0833,-101.5333,85.12,52,0,7.0
153,Bengkulu,ID,2021-09-20 02:58:34,-3.8004,102.2655,80.98,71,46,1.95
154,Sangar,RU,2021-09-20 02:58:34,63.9242,127.4739,43.23,62,67,6.8
155,Kodinsk,RU,2021-09-20 02:58:34,58.6881,99.1844,52.86,90,100,2.46
156,Roebourne,AU,2021-09-20 02:58:35,-20.7833,117.1333,89.96,13,15,22.08
157,Aksarka,RU,2021-09-20 02:58:35,66.5606,67.7975,33.78,89,99,18.43
158,Praia,CV,2021-09-20 02:58:36,14.9215,-23.5087,79.9,87,100,5.46
159,Arman,RU,2021-09-20 02:58:36,59.7,150.1667,46.51,90,100,2.84
160,Koping,SE,2021-09-20 02:58:37,59.514,15.9926,47.17,70,97,4.27
161,Taltal,CL,2021-09-20 02:55:36,-25.4,-70.4833,59.97,73,0,6.53
162,Srednekolymsk,RU,2021-09-20 02:58:37,67.45,153.6833,38.44,34,100,21.72
163,Vila,PT,2021-09-20 02:58:38,42.0304,-8.1588,51.33,86,56,5.95
164,Mpulungu,ZM,2021-09-20 02:58:38,-8.7623,31.1141,72.48,63,13,6.64
165,Shurugwi,ZW,2021-09-20 02:58:39,-19.6702,30.0059,53.73,53,4,5.37
166,Shestakovo,RU,2021-09-20 02:58:39,56.4915,103.96,63.12,55,100,6.55
167,Yaan,NG,2021-09-20 02:58:40,7.3833,8.5667,72.39,97,82,5.75
168,Bethel,US,2021-09-20 02:58:40,41.3712,-73.414,62.67,87,0,3.47
169,Bilibino,RU,2021-09-20 02:58:41,68.0546,166.4372,27.99,61,98,4.47
170,Whitehorse,CA,2021-09-20 02:58:41,60.7161,-135.0538,50.77,53,40,5.75
171,Sovetskaya,RU,2021-09-20 02:58:42,44.7769,41.1722,57.11,83,97,4.56
172,Ferzikovo,RU,2021-09-20 02:58:42,54.5191,36.7567,44.24,95,100,17.4
173,Kindu,CD,2021-09-20 02:58:43,-2.95,25.95,68.05,99,100,2.42
174,Fleurus,BE,2021-09-20 02:58:43,50.4843,4.5518,55.67,95,20,2.3
175,Nanortalik,GL,2021-09-20 02:58:44,60.1432,-45.2371,36.59,90,44,9.78
176,Castries,LC,2021-09-20 02:58:44,13.9957,-61.0061,78.75,72,8,2.3
177,Mahebourg,MU,2021-09-20 02:58:44,-20.4081,57.7,66.49,72,20,5.75
178,Iqaluit,CA,2021-09-20 02:58:45,63.7506,-68.5145,28.13,86,40,6.91
179,Candido De Abreu,BR,2021-09-20 02:58:46,-24.5669,-51.3333,68.94,84,66,3.47
180,Asuncion,PY,2021-09-20 02:58:46,-25.3007,-57.6359,81.84,61,3,4.61
181,Mar Del Plata,AR,2021-09-20 02:57:08,-38.0023,-57.5575,55.42,100,90,5.75
182,Mersing,MY,2021-09-20 02:58:47,2.4312,103.8405,84.11,74,40,4.61
183,Butaritari,KI,2021-09-20 02:58:47,3.0707,172.7902,83.26,65,4,11.83
