City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Kantang,TH,76.33,light rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
567,Kerema,PG,77.63,broken clouds,-7.9631,145.7785,Frena Lodge
572,General Zuazua,MX,83.8,broken clouds,25.9,-100.1167,QUINTA MARTITA
573,Acapulco,MX,84.67,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
582,Kloulklubed,PW,83.89,light rain,7.0419,134.2556,Storyboard Beach Resort
584,Mount Pleasant,US,82.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
588,Tamuin,MX,86.86,few clouds,21.9833,-98.75,Hotel Tamuin
589,Honiara,SB,81.19,few clouds,-9.4333,159.95,Heritage Park Hotel
590,Tecoanapa,MX,85.96,broken clouds,16.5167,-98.75,Hotel Manglares
593,Marsh Harbour,BS,83.71,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
598,Ishigaki,JP,82.94,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
599,Weligama,LK,78.55,overcast clouds,5.9667,80.4167,Weligama Bay Resort
601,Esmeralda,CU,87.22,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
602,Alampur,IN,77.09,light rain,15.8833,78.15,Haritha Hotel Alampur
606,Phan Thiet,VN,76.48,overcast clouds,10.9333,108.1,Hotel Saigon-PT
607,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
609,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
612,Sokolo,ML,87.22,broken clouds,14.7328,-6.1219,
613,Kailua,US,84.02,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
617,Pyapon,MM,75.81,moderate rain,16.2833,95.6833,Aung Naing Thu Motel
618,Altagracia De Orituco,VE,81.63,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
623,Buchanan,LR,78.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
627,Guantanamo,CU,86.47,scattered clouds,20.1444,-75.2092,Hotel Guantánamo
629,Luanda,AO,75.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
634,Coahuayana,MX,87.01,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
636,Marzuq,YE,78.3,few clouds,14.4,46.4667,
641,Mandapam,IN,83.89,overcast clouds,9.2833,79.1167,Tanvi Chachaa Chalet
645,Las Cruces,US,80.47,broken clouds,32.3123,-106.7783,Days End Lodge
